musical_id,title,poster_url,genre,date,location,actors,age_rating,running_time,describe,synopsis
190722,레미제라블,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/07/0400012307_190722_01.837.gif,라이선스,2023/11/30 ~ 2024/03/10,블루스퀘어 신한카드홀,"민우혁,최재림,김우형,카이,조정은,린아,임기홍,육현욱,박준면,김영주,김성식,김진욱,김수하,루미나,윤은오,김경록,이상아,류인아,장세린,이형준...",,180분 (인터미션 : 20분),,
190036,레베카,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/06/0400012306_190036_01.204.gif,라이선스,2023/08/19 ~ 2023/11/19,블루스퀘어 신한카드홀,"류정한,민영기,에녹,테이,신영숙,옥주현,리사,장은아,김보경,이지혜,이지수,웬디,윤석원,임정모,윤사봉,김지선,이은율,홍기주,제병진,김순택...",8세이상,170분 (인터미션 : 20분),"더 이상 수식어가 필요 없는 가장 완벽한 뮤지컬!역사적 10주년 기념공연으로 돌아온 대체불가 ‘메가 스테디셀러’약 13개국, 11개 언어로 공연되며 전 세계 2,100만 관객을 전율케 한 초대형 흥행작!2013년 한국 초연 이후, 2022년 여섯 번째 시즌까지 누적 관람객 95만명 기록!스릴러의 거장 히치콕의 영화로도 유명한 <레베카>!감동적인 로맨스, 반전을 거듭하는 서스펜스, 강력한 킬링 넘버!유럽 뮤지컬 레전드! 극작가 미하엘 쿤체(Michael Kunze)와 작곡가 실베스터 르베이(Sylvester Levay)의 ‘마스터 피스’영국의 대표 작가 대프니 듀 모리에의 소설을 원작으로,스릴러의 거장 알프레도 히치콕의 동명의 영화로도 유명한 뮤지컬 <레베카>!원작을 뛰어넘는 뮤지컬의 탄생이라 불리며 전세계에서 사랑받아온 대작!숨막히도록 아름다운 대저택의 비밀이 밝혀진다!대한민국 초연 10주년 기념 무대를 꾸밀 대한민국 최정상 스태프와 압도적인 완벽 캐스팅 라인업!총괄프로듀서 엄홍현, 연출 로버트 요한슨, 음악감독 김문정 등 국내외 최고의 스태프 총망라!류정한, 민영기, 에녹, 신영숙, 옥주현, 리사, 장은아, 김보경, 이지혜 등 지난 시즌의 히어로들과테이, 이지수, 웬디 등 뉴 캐스팅으로 한층 업그레이드된, 단 한 순간에 관객을 매혹시킬 <레베카> 10주년 기념 공연!","불의의 사고로 아내 레베카를 잃고 힘든 나날을 보내고 있는 막심 드 윈터,그는 몬테카를로 여행 중 우연히 ‘나’를 만나 사랑에 빠지게 된다.행복한 결혼식을 올린 두 사람은 막심의 저택인 맨덜리에서 함께 생활하게 되는데...맨덜리는 아름다웠지만 음산하고 기묘한 분위기를 풍기는 곳이기도 했다.마치 죽은 레베카가 살아 숨 쉬고 있는 것처럼맨덜리의 모든 것은 여전히 레베카에게 깊게 물들어 있고집사 댄버스 부인은 시종일관 무표정을 유지하며 ‘나’에게 경계심을 드러낸다.사랑하는 막심과의 행복한 삶을 꿈꾸던 ‘나’는 점점 위축되어 가고오해가 쌓여 막심과의 관계도 위태로워진다.‘나’가 자괴감에 빠져 괴로워할 때, 레베카의 보트와 시신이 우연히 발견되면서상황은 새로운 국면을 맞이하게 되는데..."
183052,오페라의 유령,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/22/12/0400012212_183052_01.841.gif,라이선스,2023/07/21 ~ 2023/11/19,샤롯데씨어터,"조승우,최재림,김주택,전동석,손지수,송은혜,송원근,황건하,윤영석,이상준,이지영,한보라,박회림,김아선...",초등학생이상 관람가,150분 (인터미션 : 20분),13년 간의 긴 기다림…마침내 한국의 유령이 온다!환영과도 같은 무대사라지지 않을 영원한 당신의 첫 감동!13년 만에 오페라 하우스의 문이 열린다,
190718,벤허,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/07/0400012307_190718_01.103.gif,창작,2023/09/02 ~ 2023/11/19,LG아트센터 서울 LG SIGNATURE 홀,"박은태,신성록,규현,이지훈,박민성,서경수,윤공주,이정화,최지혜,이정열,홍경수,한지연,류수화,장혜린,문은수,김대종,이희정,문성혁,공동환,조용휘...",8세이상,155분 (인터미션 : 20분),"대한민국 창작 뮤지컬의 압도적 수작의 귀환!제2회 한국뮤지컬어워즈 대상, 무대예술상, 앙상블상 수상 및 11개 부문 노미네이트!제6회 에그린뮤지컬어워드 앙상블상 수상!작품성과 대중성을 모두 만족시킨 대작!한국 창작 뮤지컬의 새로운 기준을 정립한 수작이 돌아온다!월드클래스 창작 뮤지컬 명가 EMK의 제작 노하우가 더해져 새롭게 탄생할 <벤허>!웅장한 경기장에서 펼쳐지는 마지막 전차 경주!파노라마처럼 펼쳐지는 생생한 수중 탈출 장면!한 편의 액션 영화처럼 역동적이고 박진감 넘치는 볼거리!EMK가 만들어낼 단 하나의 무대, 한국 뮤지컬 기술력의 정수를 만난다!시대를 뛰어넘은 명작의 재탄생!1880년 소설, 1959년 명작의 반열에 오른 영화 <벤허>100년이 넘는 시간 동안 증명된 콘텐츠 파워!시대와 언어를 뛰어넘은 명작이 돌아온다!","서기 26년, 제정 로마의 박해에 신음하는 예루살렘. 명망 높은 유대의 귀족 벤허는 로마의 장교가 되어 돌아온 친구 메셀라와 오랜만에 재회한다. 숱한 전쟁을 겪으며 살아남은 메셀라는 벤허에게 유대의 폭도 소탕을 도와달라 부탁하지만, 벤허는 이를 거절한다.다음 날, 벤허의 여동생 티르자는 집 옥상에서 그라투스 총독의 행군을 구경하다 기왓장을 떨어뜨리는 사고를 낸다. 메셀라는 이를 문제삼아 벤허 가문 전체에 반역죄를 씌운다. 억울한 누명을 쓴 벤허는 로마 군함의 노를 젓는 노예가 된다.3년 후, 벤허가 탄 군함이 해적과의 전투 중 난파되고, 사령관 퀸터스의 목숨을 구한 벤허는 자유의 신분을 얻어 로마의 귀족이 된다. 생사의 위기를 극복한 벤허는 자신의 모든 것을 앗아간 메셀라에게 복수할 것을 결심한다.한편, 예루살렘은 나사렛에서부터 유대의 새로운 왕이 온다는 소문으로 술렁이고, 마침내 고향으로 돌아온 벤허는 메셀라에 맞서 전차경주장의 출발선 앞에 나란히 서게 되는데..."
190723,레미제라블 - 부산,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/07/0400012307_190723_01.901.gif,라이선스,2023/10/11 ~ 2023/11/19,부산 드림씨어터,"민우혁,최재림,김우형,카이,조정은,린아,임기홍,육현욱,박준면,김영주,김성식,김진욱,김수하,루미나,윤은오,김경록,이상아,류인아,장세린,이형준...",만 7세이상,,시대를 뛰어넘는 ‘마스터피스’10년 만의 위대한 귀환!한국 라이선스 공연 10주년 기념!역대급 프로덕션으로 돌아온다!생애 반드시 경험해야 할 세계 BIG4 뮤지컬!위대한 명작을 오리지널 스케일로 만날 수 있는 기회!,
191013,시스터즈,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/07/0400012307_191013_01.012.gif,뮤지컬,2023/09/03 ~ 2023/11/12,홍익대 대학로 아트센터 대극장,"유연,신의정,선민,황성현,김려원,하유진,정유지,이예은,이서영,정연,홍서영...",,110분,"* 세계 속 한류를 이끄는 걸그룹들, 과연 그들의 시작은 누구였을까?세계적 열풍인 K-pop의 반을 차지하는 걸그룹들. 그들은 치열한 경쟁에서 살아남았으며 지금도 최고의자리를 지키기 위해 혹독하게 스스로를 채찍질하는 대단한 근성의 여성들이다. 이런 한국 걸그룹 파워가 과연 하루아침에 이뤄진 것일까? 혹은 특별한 한국 여성의 유전자가 존재하는 것은 아닐까?연출 박칼린은 이렇게 한국 걸그룹 파워의 시작점에 주목했고, 그 ‘걸그룹 선조- 시스터즈’들의 이야기를 뮤지컬로 담아보기로 결심했다.* 빛바랜 사진 속에서 뮤지컬 무대 위로, 화려하게 부활하는 레전드들이 의문의 답을 찾기 위해 연출 박칼린과 전수양 작가는 80여 년 전으로 거슬러 올라갔다. 현대와마찬가지로 성하고 스러진 수많은 그룹들 가운데 특히 한국 가요사에 족적을 남긴 시스터즈의 이야기를 극에 담아내기로 결심했다. 거기엔 조선악극단의 여성 단원으로 구성된 <저고리 시스터>를 시작으로 60년대 슈퍼 걸그룹 <이 시스터즈>, 대중음악의 전설 <윤복희와 코리아 키튼즈>, 그리고 20세기 후반 한국 대중음악계를 휩쓴 <바니걸즈>와 걸출한 예인 인순이를 배출한 <희자매> 등 거인들이 있었다.일제 강점, 전쟁, 가난, 연예인에 대한 폄하, 여자 가수에 대한 멸시 등 척박한 환경 속에서도 기어코 살아남아 이름을 떨쳤던 그녀들. 특히 라디오가 막 가정에 보급되고 흑백 TV가 전부인 시절에도 사람들의 입에서 입으로 전해지며 유명해지고, 실력을 뽐냈던 그녀들의 화려하고 당당한 무대를 오늘날 뮤지컬 무대 위에서 화려하게 부활시켜 보려고 한다.연출 박칼린은 “쇼 뮤지컬 <시스터즈 (SheStars!)>가 세 가지 여운을 관객에게 남기는 공연이 되길 바란다. 그 첫 번째는 우리 음악 역사에 운명을 개척했던 대단한 여성들이 있었구나. 둘째는 역사물인데도 너무 흥미진진하고 재미있는 구성이었다. 그리고, 마지막으로 그 무대를 채우는 우리 배우들이 정말 시대의 히로인을 표현하기에 손색이 없이 대단하다는 것이다. 100분간의 컴팩트한 시간이 그야말로 쏜살같이 흐르는 즐거운 경험을 할 것”이라고 공연에 대한 기대를 드높였다.* 전 배역을 멀티로 소화해 낼 배우들흑백사진 속 인물들을 현실로 불러내 올 <시스터즈 (SheStars!)>의 배우들은 한국 뮤지컬의 전성기를 이어갈 재능 넘치는 신성들로 구성되었다.유연, 신의정, 김려원, 선민, 하유진, 이예은, 정유지, 정연, 이서영, 홍서영, 황성현 등 크고 작은 무대에서 빼어난 재능을 뽐냈던 배우들은 모두 까마득한 예인 선배들의 무대를 재현하는 배우로 선택된 것에 기뻐하며 전설들의 완벽한 무대 매너, 가창력, 카리스마에 누가 되지 않기 위해 저마다 혼신의 노력을 다할 각오를 비추고 있다.특히 이 배우들의 무대가 더욱 빛날 것은 참여하는 모든 배우가 멀티 배역으로 여러 역할을 소화한다는 점이다.공연에 참여하는 배우는 여배우 10명에 남배우 1명 합쳐 총 11명, 그러나 한 공연의 무대 위 출연배우는 단 7명이다. 이를 위해 각 배우들은 주역 1-3인과 단역 3-4인을 소화하며 고군분투하고 오늘과 내일 소화하는 주요 배역도 달라진다. 단일 서사의 북 뮤지컬에서는 좀처럼 볼 수 없는 주연 배우가 주, 조, 단역을 모두 소화하는 배역 배정은 배우들에게는 새로운 도전정신을 불러일으키고, 관객들에게는 흥미로움과 다 회 관람의 가치를 높인다.배우들이 이 새로운 시스템을 완벽하게 소화해 낼 때, 본인들이 그리는 전설들처럼, 목표를 위해 열심히 노력한 예인으로서의 카타르시스를 느끼게 될 것이며, 그 에너지는 관객들에게 큰 감동을 선사할 것이다.* 10인조 밴드와 함께 그 시절의 느낌 그대로 부활할 시대의 히트곡들지휘자 없이 밴드 마스터와 함께 구성된 10인조 밴드와 각 시대 가수들의 드라마틱한 모습으로 분한 배우들은 ‘처녀 합창’, ’울릉도 트위스트’, ‘What I’d Say’, ’커피 한잔’ 등 시대의 히트곡들을 그 시절 그대로의 감성으로 되살린다. 춤꾼, 노래꾼, 연주자로 대표되었던 그 시절 엔터 업계의 느낌을 그대로 살려 <시스터즈 (SheStars!)>의 밴드는 또 하나의 배우로서 무대 위 존재한다. 금관악기가 주축이 되는 브라스 밴드가 들려주는 시대의 주법을 되살린 음악, 그리고 시스터즈들의 발성과 몸짓을 그대로 재현하는 배우들은 시대의 히트곡들이 왜 관객들의 사랑을 받을 수밖에 없었는지를 증명하는 무대가 될 것이다.* 멈춘 왁스 뮤지엄이 아닌 생생하게 살아 숨 쉬는 시스터즈들의 시그니처 무대이 공연의 가장 큰 특징은 무대 위 진정한 엔터테이너였던 시스터즈들의 최전성기 전설적 무대를 그대로 재현하는 쇼가 중심이 된다는 것이다. 또한 쇼 사이사이에 그 시대 최고의 팝스타가 되기까지 성장 스토리가 드라마틱하게 엮인다. 그녀들의 스토리, 그리고 옛날 신문, 사진, 영상 등 팩트가 가미되어 다큐멘터리를 보는 것 같으면서도 어느 순간 생생한 그 시절이 오늘날 허구의 무대에서 화려하게 재생되는 일종의 모큐멘터리 공연이다.* 하이테크로 완성되는 최고의 아날로그적 무대본 작품 속 무대는 시간과 배경을 초월해서 구성된다.일제 강점기의 경성 조선극장, 미8군 무대, 60년대 라스베가스 호텔, 에드설리번 쇼, 서울 명동 거리 등 역사 속 다양한 배경이 등장한다. 자료화면을 보는 듯한 무대는 어느새 무대 뒤 분장실, 화려한 무대로 변하고, 시스터즈들은 현란한 조명 속에서 춤추며 노래하다 다시 쓸쓸한 무대 뒤에서 앳된 여인으로 돌아간다. 시공간을 초월하는 도구로서 최신 무대 기술은 구현되지만, 그 옛날 의존할 기계음, 포토샵 하나 없이 오로지 자신들의 실력과 아우라로만 무대를 휘어잡아야 했던 그 시절의 가치와 시대 느낌을 지키기 위해, 무대는 하이테크 기술을 통해 더욱더 아날로그적으로 표현된다.",
191968,삼총사,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/08/0400012308_191968_01.754.gif,라이선스,2023/09/15 ~ 2023/11/19,한전아트센터,"박장현,후이,렌,유태양,민규,이건명,최대철,김형균,김신의,김현수,신인선,최오식,장대웅,조순창,안유진,류비,이윤하,지수연,서범석,강동우...",만 7세이상,150분 (인터미션 : 20분),"BEST OF BEST!멈추지 않는 흥행, 더욱 화려하게 돌아온 레전드!뮤지컬 <삼총사>17세기 파리, 위대한 전설이 시작된다!최고의 이야기꾼! 세대와 국경을 넘어 지금까지도 사랑받고 있는대문호 알렉상드르 뒤마의 걸작 <삼총사>가 무대 위에 펼쳐지다!왕실 총사를 꿈꾸는 청년 ‘달타냥’과프랑스 왕의 친위부대 삼총사 ‘아토스’, ‘아라미스’, ‘포르토스’ 세 사람의 우정과 모험!낭만적인 17세기 파리를 배경으로 한 아름답고 웅장한 무대와아크로바틱, 검술 등 박진감 넘치는 화려한 액션시대를 넘어 전 세계적으로 사랑받아오며 영화, 드라마 시리즈에서 애니메이션까지수많은 장르로 탄생한, 한 순간도 눈을 뗄 수 없는 흥미진진한 스토리!전설의 팝스타 브라이언 아담스와 스팅, 로드 스튜어트의 ‘All For Love’를 메인 테마로 하는감미로우면서도 웅장한 넘버!국내 최정상 배우들이 거쳐간 <삼총사>박장현, 후이(펜타곤), 렌, 유태양(SF9), 민규(DKZ)이건명, 최대철, 김형균, 김신의, 김현수, 신인선, 최오식, 장대웅, 조순창안유진, 류비, 이윤하, 지수연, 서범석, 강동우, 김상현, 엄준식 등실력파 뉴 캐스팅과 베테랑 배우들이 함께 다시 한번 전설을 만든다!뮤지컬 <삼총사>2023년 9월 15일 한전아트센터 개막!",
190726,렛미플라이,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/07/0400012307_190726_01.249.gif,창작,2023/09/26 ~ 2023/12/10,예스24스테이지 1관,"김태한,김도빈,이형훈,방진의,윤공주,최수진,안지환,박보검,신재범,나하나,홍지희,임예진...",8세이상,,,"아폴로 11호가 달을 향해 쏘아 올려진 1969년의 밤.동네 최고의 수선장이 남원은 편지 한 통을 받으며불가능할 것만 같았던 패션 디자이너라는 꿈에 한 발짝 다가선다.사랑하는 정분이와의 멋진 내일을 꿈꾸던 남원은점점 커지는 달에 놀라 쓰러지고.다시 눈을 뜬 곳은 2020년의 어느 날!당황스럽고 어리둥절한 남원 앞에‘영감, 지금은 2020년이고, 우린 70이야!’ 말하는 선희 할머니가 나타난다.2020년이 낯선 듯 익숙한 남원.어떻게든 사랑하는 정분이가 있는 1969년으로 돌아가기 위한 미래 탐사를 시작한다."
192992,순신,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/08/0400012308_192992_01.102.gif,창작,2023/11/07 ~ 2023/11/26,예술의전당 CJ 토월극장,"형남희,최인형,이자람,윤제원,권성찬,송문선,고미경,금승훈,김백현,김용한,유경아,정지만,박재은,정유희,김건혜,이영규,이홍모,조근래,최병규,이종한...",만 6세이상,130분 (인터미션 : 20분),"최고의 창작진이 선보이는 서울예술단 창작 신작!국공립단체로서 한국적 콘텐츠의 가치 발굴과 새로운 공연 양식 개발에 집중하고 있는 서울예술단은 이지나(연출), 김문정(작곡), 이자람(작창) 등 국내 최고의 창작진들과 가장 대중적인 역사 속 영웅 이순신을 새로운 양식으로 구현한 신작을 선보인다. 이순신이 전장에서 집필한 ‘난중일기’에 나오는 꿈의 해석을 통해 난세 영웅으로서의 모습과 신하로서의 모습 사이에서 갈등하고 고뇌하는 인간 이순신을 그릴 예정이다. 서울예술단의 특징인 무용수들의 군무와 움직임을 통해 전투 장면을 실감나게 표현하고, 입체적인 영상과 무대효과를 통해 스펙터클한 장면을 연출하며, 동·서양의 음악이 더해진 다이내믹한 음악을 바탕으로 ‘한산’, ‘명량’, ‘노량’ 등 주요 해전 장면은 판소리로 풀어내는 등 토털 시어터를 지향하고 있는 작품이다.","1592년, 임진년 4월 어느 날, 순신은 불길한 꿈을 꾼다. 그의 꿈처럼 임진왜란이 발발하고, 전라좌수사에 천거된 순신은 조선의 바다를 지켜 왜적을 막아낸다. 한산대첩을 앞둔 순신은 거대한 조각들이 구선을 이루고, 철갑이 둘러지는 꿈을 꾼다. 거북선의 형상이다. 한산대첩에 거북선을 활용한 순신은 승리한다. 하지만, 전쟁이 계속될수록 악몽에 시달린다. 전쟁에 대한 무거움, 백성들의 칭송에 대한 버거움, 왜군을 피해 몽진한 선조와 왜군과 정면 승부하는 순신이 대조되며 둘 사이의 갈등에 대신들의 차가운 눈초리까지. 순신은 ‘나라의 충실한 신하가 되어 살아가라’는 그의 이름 ‘순신’처럼 살아가고자 발버둥 친다. 꿈 속 어머니의 당부처럼... 하지만 전쟁에서 승리할수록 순신은 사랑하는 이들을 잃게 된다. 어머니와 아들 면까지. 순신은 또 다시 꿈을 꾼다. 전쟁으로 인해, 순신으로 인해 죽은 이들이 나타나 원망한다. 이들은 배가 고파 쌀을 훔치고, 가족이 보고파 군영을 벗어난 수군들이자, 백성들이다. 엄격한 수장으로서 어쩔 수 없는 선택을 한 순신. 눈물로 용서를 구해보지만 그들은 차갑게 외면한다. 어찌하면 그들에게 속죄할 수 있을까. 순신을 결심한다. 반드시 용서를 구하리라고, 이 전쟁의 끝에서, 살아서가 아니면 죽어서라도."
194463,반짝반짝 백설공주,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/10/0400012310_194463_01.618.gif,어린이/가족,2023/11/04 ~ 2023/11/19,달밤엔씨어터,,전체관람가,50분,,
194225,난쟁이들,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/10/0400012310_194225_01.143.gif,창작,2023/11/01 ~ 2024/01/21,플러스씨어터 (구. 컬처스페이스 엔유),"유현석,기세중,윤석호,조풍래,류제윤,장민수,정우연,박슬기,한보라,안상은,이경욱,선한국,서동진,남민우,주민우,이건희...",17세이상,120분,"내숭은 벗어던진 발칙한 이야기어른이 뮤지컬 난쟁이들2014년 뮤지컬 하우스 블랙앤블루 개발지원작제 3회 서울뮤지컬페스티벌 예그린 앙코르 최우수 작품 선정작2015, 2017 한국문화예술위원회 창작뮤지컬 우수재공연 제작지원 선정작발칙,신선,유쾌! 다 있다!거침없이 웃기는 웰메이드 창작뮤지컬이 다시 돌아왔다!독특한 소재, 신선한 시도, 그리고 파격적인 웃음으로2015년 초연 이후 매 시즌마다 화제를 모으며 큰 사랑을 받았던창작 뮤지컬 <난쟁이들>이 넘치는 개성과 에너지로 독보적 웃음 선사할캐스팅으로 2년여 만에 다시 돌아왔다!★★★★★풍자적인 가사를 경쾌한 멜로디로 풀어내 극을 다채롭게 만들며,배우들의 익살스러운 연기가 돋보이는 작품-조선일보기존의 문법을 완전히 깨부순 발칙하고 유쾌한 창작 뮤지컬B급 코드를 제대로 관통한 뮤지컬의 탄생-국민일보박장대소 속에 날카로운 메시지를 숨겨 우리를 둘러싼 현실을 되돌아보게 하는 작품-뉴스컬처","왕자와 공주들의 아름다운 사랑이 이루어지는 동화나라!그 곳 난쟁이 마을에 난쟁이 찰리와 빅이 살고 있다. 그들은 매일 광산에서 하루 종일 보석을 캐지만 아무리 열심히 벌어 봤자 답답한 현실에서 벗어날 기미가 보이지 않는다.그러던 어느 날, 동화나라에 무도회가 열린다는 공고가 난다. 오랜 전통대로 무도회에서 진실한 키스를 하는 커플이 새로운 동화의 주인공이 된다는 소식은 인생 역전의 기회만 노리던 찰리의 심장을 뛰게 한다.그는 빅과 함께 재투성이 신데렐라를 공주로 만들어 준 마녀 할머니를 찾아가 왕자를 만들어 달라고 하지만 마녀는 이젠 개천에서 용 나던 시절은 지났다며 마법도 소용없다고 말한다.하지만 찰리와 빅은 포기하지 않고 급기야 마녀와 거래를 하게 되는데..."
192343,옹알스,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/08/0400012308_192343_01.834.gif,창작,2023/09/30 ~ 2023/12/31,세우아트센터 2관,"조수원,조준우,채경선,최기섭,하박,이경섭,최진영...",48개월이상,70분,,
193854,더 쇼! 신라하다 - 경주,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/09/0400012309_193854_01.939.gif,뮤지컬,2023/10/21 ~ 2023/12/07,경주 엑스포공원 문화센터문무홀,"세용,유권,남경주,김동완,린지,낸시,박소현,심건우,김성현,우정민,키준,박온,김유민,김경목,박솔하,유민혜,김민주,차재영,권민주,김준일...",8세이상,80분,"새로운 세상이 펼쳐진다!뮤지컬 <더 쇼! 신라하다>“2023 경상북도문화관광공사 신라문화기반 창작 뮤지컬 선정”찬란한 과거의 신라와 역동적인 현대를 넘나들며 펼쳐지는 쇼 뮤지컬!10월 21일 경주엑스포대공원 문화센터 문무홀 개막!국내 최고의 창작진과 스타들이 함께하는 공연남경주, 김동완, 세용(마이네임), 유권, 린지, 낸시, 박소현 外압도되는 퍼포먼스! 신나는 춤과 음악!무대의 한계를 뛰어넘는 영상 예술까지!무대 위 새로운 세상을 펼친다!","2023년 한국, 댄스팀 ‘홀스’의 리더 처영은 세계 대회를 앞두고 팀원들과 불화를 일으킨다.안 그래도 자신보다 실력이 모자란 멤버들 때문에 제 기술을 마음껏 선보이지 못하던 처영은이럴 바엔 차라리 혼자 춤을 추는 것이 낫지 않을까 생각하게 되는데…이런 그의 앞에 한 중년 남자가 나타난다.자신을 하늘에 바칠 그림을 그리는 사나이라고 소개한 그는처영의 춤이 좋은 영감이 될 것 같았는데 무언가 모자라다며 혼자 혀를 찬다.어딘가 이상해보이는 그를 처영이 쫓아내려던 순간갑자기 지진이 난 듯 세상이 흔들리기 시작했다.그리고 눈을 떴을 때, 처영은 통일 신라에 떨어져 있었다.설상가상으로 신라 사람들은 그를 ‘동해 용왕의 아드님’이라고 연호하기 시작하는데…처영은 무사히 21세기 대한민국으로 돌아갈 수 있을까?"
193404,빨래,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/09/0400012309_193404_01.734.gif,창작,2023/10/12 ~ 2024/05/26,유니플렉스 2관,,14세이상,165분 (인터미션 : 15분),,
194470,동화책콘서트 - 대전,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/10/0400012310_194470_01.359.gif,어린이/가족,2023/11/02 ~ 2023/12/03,아트그라운드 플래닌,,24개월이상,,,
190256,그림책 속 제주이야기,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/06/0400012306_190256_01.621.gif,어린이/가족,2023/11/02 ~ 2023/11/26,아이들극장,,36개월이상,80분,,
164746,프리즌,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/21/04/0400012104_164746_01.341.gif,창작,2021/05/01 ~ 2023/12/31,에이치씨어터,"손동진,최승환,홍차민,안중현,김세훈,신연우,하준석,이강오,김동훈,추정민,조웅희,윤선우,한미래,장수빈,강유진...",만 7세이상,100분,,
193773,오즈의 의류수거함,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/09/0400012309_193773_01.702.gif,창작,2023/11/03 ~ 2023/12/31,대학로 시온아트홀,,만 7세이상,80분,,
194902,헨레과 그레텔의 과자 콘서트 - 청주,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/10/0400012310_194902_01.728.gif,어린이/가족,2023/10/23 ~ 2023/12/15,오즈아트홀,,전체관람가,40분,,
191356,셰프,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/07/0400012307_191356_01.040.gif,퍼포먼스,2023/08/01 ~ 2023/12/31,명보아트홀 가온홀,,36개월이상,75분,,
193702,시스터 액트 - 부산,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/09/0400012309_193702_01.100.gif,라이선스,2023/11/04 ~ 2023/11/11,센텀시티 소향씨어터 신한카드홀,,8세이상,150분 (인터미션 : 20분),,
194005,누가 내 머리에 똥 쌌어 - 부천,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/09/0400012309_194005_01.117.gif,어린이/가족,2023/11/07 ~ 2023/11/19,한국 만화박물관 내 만화영화상영관,,전체관람가,50분,,
194189,까먹어도 될까요,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/09/0400012309_194189_01.423.gif,어린이/가족,2023/10/25 ~ 2023/11/18,광진어린이공연장,,36개월이상,50분,,
194661,무지개 요정 올리볼리 - 광주,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/10/0400012310_194661_01.854.gif,어린이/가족,2023/11/07 ~ 2023/11/19,광주 유스퀘어문화관 동산아트홀,,24개월이상,70분,,
181148,김종욱 찾기,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/22/11/0400012211_181148_01.708.gif,창작,2022/11/18 ~ 2023/11/30,"브릭스 씨어터 (구, 콘텐츠 그라운드)","김시울,이재형,정현준,홍차민,김건영,김소정,김재희,배다솜,서지우,심설빈,문준혁,박형석,안지후,윤병일,이광진...",만 7세이상,100분,,
192173,판,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/08/0400012308_192173_01.923.gif,창작,2023/09/19 ~ 2023/11/26,대학로 티오엠 1관,"김지철,문성일,현석준,원종환,김지훈,김국희,박은미,김지혜,박란주,송영미,류경환,김효성,임소라,서원,최영석...",14세이상,110분,,
